Segment Kmeans,raised_amount_usd,pre_money_valuation_usd,post_money_valuation_usd,participants,is_first_round,is_last_round
0,23250,23250,23250,23250,23250,23250
1,16827,16827,16827,16827,16827,16827
2,17454,17454,17454,17454,17454,17454
3,18929,18929,18929,18929,18929,18929
4,1,1,1,1,1,1
5,17,17,17,17,17,17
6,34,34,34,34,34,34
7,4390,4390,4390,4390,4390,4390
