Segment Kmeans,raised_amount_usd,pre_money_valuation_usd,post_money_valuation_usd,participants,is_first_round,is_last_round
0,7416362.426236559,412.9032258064516,294629.14877419354,2.9716129032258065,1.0,1.0
1,8679595.207999049,15047.245498306293,100018.6322576811,3.5734830926487193,0.0,1.0
2,16049157.664546808,162255.07047095223,2254627.4901455254,4.217715136931362,0.0,5.7293457087200645e-05
3,13741204.667177347,155523.27117121877,2451953.5214221566,4.115695493686935,1.0,0.00026414496275556024
4,240000000.0,15000000000.0,0.0,1.0,0.0,0.0
5,220529411.7647059,0.0,3323529411.7647057,3.9411764705882355,0.7647058823529411,0.0
6,1457352941.1764705,0.0,0.0,5.823529411764706,0.23529411764705882,0.3235294117647059
7,6175184.308200455,129840.54669703872,769480.4548974943,15.329840546697039,0.5523917995444191,0.6888382687927107
